date,y_true,y_pred,residual
2018-09-23,222.162,241.62167736100008,-19.459677361000075
2018-09-30,320.35,227.0532765276666,93.29672347233341
2018-10-07,262.95,352.6611512520002,-89.7111512520002
2018-10-14,239.5,242.96066652766643,-3.460666527666433
2018-10-21,241.0,227.2907469443332,13.709253055666807
2018-10-28,300.725,247.34317777766665,53.38182222233337
2018-11-04,240.1,247.602597361,-7.502597360999999
2018-11-11,255.85,242.56598763866677,13.284012361333225
2018-11-18,236.1,239.6739169443333,-3.5739169443333196
2018-11-25,201.0,236.5906684720001,-35.59066847200009
2018-12-02,253.9,232.750165139,21.149834861000016
2018-12-09,222.6,235.44482833333316,-12.844828333333169
2018-12-16,249.7,226.8046987499998,22.895301250000188
2018-12-23,240.6,230.2640290276666,10.3359709723334
2018-12-30,349.85,253.4649780549999,96.38502194500012
2019-01-06,289.65,336.4694495846668,-46.81944958466681
2019-01-13,354.8,250.23072152699976,104.56927847300025
2019-01-20,384.05,343.2433511116665,40.806648888333484
2019-01-27,478.3,356.8451766670003,121.4548233329997
2019-02-03,348.562,338.4868505560002,10.075149443999805
2019-02-10,297.45,338.6867488903334,-41.23674889033339
2019-02-17,249.912,277.9631313883333,-28.05113138833329
2019-02-24,204.0,238.3903324993332,-34.3903324993332
2019-03-03,187.8,255.35231111100035,-67.55231111100034
2019-03-10,231.9,196.8431155556668,35.05688444433321
2019-03-17,251.45,221.40082472233345,30.049175277666535
2019-03-24,196.6,218.32624666633328,-21.72624666633328
2019-03-31,172.9,181.02999333333332,-8.129993333333317
2019-04-07,173.35,179.72198,-6.371980000000008
2019-04-14,125.5,166.82874222266668,-41.328742222666676
2019-04-21,117.9,156.25117666666662,-38.35117666666662
2019-04-28,181.3,143.81301666733324,37.48698333266677
2019-05-05,157.6,153.6323477786666,3.9676522213333953
2019-05-12,149.1,155.88322888899998,-6.783228888999986
2019-05-19,160.0,149.8347211116669,10.165278888333091
2019-05-26,194.4,159.21445000066674,35.18554999933326
2019-06-02,141.462,167.39816666700003,-25.936166667000037
2019-06-09,157.6,159.2640777786666,-1.6640777786666092
2019-06-16,123.6,146.05066222299993,-22.450662222999938
2019-06-23,148.5,148.4291822223333,0.07081777766669006
2019-06-30,130.9,143.9480388893334,-13.048038889333384
2019-07-07,132.05,136.5640555556667,-4.514055555666687
2019-07-14,149.6,137.05573666699996,12.544263333000032
2019-07-21,149.2,142.60225777833324,6.597742221666749
2019-07-28,124.375,143.22648666700005,-18.851486667000046
2019-08-04,156.45,145.01374333466663,11.43625666533336
2019-08-11,86.25,148.52083222466663,-62.270832224666634
2019-08-18,125.0,148.47787000066646,-23.477870000666456
2019-08-25,115.45,137.16989888966663,-21.719898889666624
2019-09-01,117.4,143.78910777833337,-26.38910777833337
2019-09-08,154.755,137.27177333366654,17.48322666633345
2019-09-15,178.375,151.27808222266668,27.096917777333317
2019-09-22,248.25,180.5558973613332,67.6941026386668
2019-09-29,336.7,225.7623563889999,110.93764361100008
2019-10-06,249.45,351.06601944633326,-101.61601944633327
2019-10-13,95.1,243.63250180533345,-148.53250180533345
